Generation,fitness,metabolic_error,amount_of_dna,nb_coding_rnas,nb_non_coding_rnas,nb_functional_genes,nb_non_functional_genes,nb_mut,nb_switch
67,3.802e-07,0.148008,5000,3.06055,10.9385,1.02344,2.07324,0.96582,0.96582
68,3.83803e-07,0.14793,5000,3.04688,10.9482,1.02441,2.05273,0.981445,0.981445
69,3.8733e-07,0.147853,5000,3.03223,10.9443,1.02441,2.03516,0.992188,0.992188
70,3.93506e-07,0.147718,5000,3.02539,10.9463,1.02539,2.0166,0.991211,0.991211
71,4.0181e-07,0.147537,5000,3.01953,10.9688,1.02246,2.01172,1.00098,1.00098
72,4.06755e-07,0.147429,5000,3.01367,10.9688,1.02539,2.00195,1.00391,1.00391
73,4.15247e-07,0.147244,5000,3.00684,10.9814,1.0293,1.9873,0.998047,0.998047
74,4.20448e-07,0.14713,5000,3.00684,10.9795,1.02246,1.99414,0.996094,0.996094
75,4.31144e-07,0.146896,5000,3.01562,10.9736,1.02539,1.99707,1.00488,1.00488
76,4.40552e-07,0.146692,5000,3.01074,10.9697,1.02051,1.99219,1.01172,1.01172
77,4.4735e-07,0.146544,5000,3.00879,10.9756,1.01855,1.99316,1.00977,1.00977
78,4.59532e-07,0.146277,5000,2.99805,10.9775,1.02344,1.97559,1.00391,1.00391
79,4.68024e-07,0.146092,5000,2.99512,10.9805,1.02539,1.9707,1.00684,1.00684
80,4.80393e-07,0.145821,5000,2.99316,10.9873,1.02051,1.97266,1.00879,1.00879
81,4.95069e-07,0.145501,5000,2.99316,10.9834,1.00977,1.9834,1.00977,1.00977
82,5.04059e-07,0.145305,5000,2.99707,10.9697,1.0127,1.98438,1.00684,1.00684
83,5.18738e-07,0.144985,5000,2.99707,10.9688,1.01465,1.98242,1.01074,1.01074
84,5.29544e-07,0.144749,5000,3.00195,10.9697,1.01074,1.99121,1.01172,1.01172
85,5.39777e-07,0.144526,5000,3.00195,10.9727,1.01074,1.99121,1.00879,1.00879
86,5.46477e-07,0.14438,5000,3.00488,10.96,1.01172,1.99316,1.00586,1.00586
